,respondent_id,gender,zone,occupation,income_levels,consume_frequency(weekly),current_brand,preferable_consumption_size,awareness_of_other_brands,reasons_for_choosing_brands,flavor_preference,purchase_channel,packaging_preference,health_concerns,typical_consumption_situations,price_range,age_group,cf_ab_score,zas_score,bsi
25,R00026,F,Metro,Entrepreneur,26L - 35L,5-7 times,Established,Large (1 L),above 4,Quality,Exotic,Online,Premium,Medium (Moderately health-conscious),Social (eg. Parties),200-250,18-25,3.0,4.0,0
26,R00027,F,Metro,Working Professional,16L - 25L,5-7 times,Established,Medium (500 ml),2 to 4,Brand Reputation,Exotic,Retail Store,Eco-Friendly,Low (Not very concerned),Casual (eg. At home),150-200,36-45,2.5,3.5,0
27,R00028,F,Metro,Working Professional,26L - 35L,5-7 times,Established,Large (1 L),2 to 4,Brand Reputation,Exotic,Online,Eco-Friendly,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",200-250,26-35,2.5,4.0,0
28,R00029,M,Metro,Working Professional,> 35L,3-4 times,Established,Medium (500 ml),above 4,Quality,Traditional,Online,Eco-Friendly,Medium (Moderately health-conscious),Social (eg. Parties),200-250,36-45,2.5,4.5,0
29,R00030,F,Urban,Working Professional,10L - 15L,0-2 times,Established,Medium (500 ml),0 to 1,Availability,Exotic,Online,Premium,Medium (Moderately health-conscious),Casual (eg. At home),100-150,26-35,1.0,2.5,0
30,R00031,F,Metro,Student,None,3-4 times,Established,Medium (500 ml),above 4,Price,Exotic,Online,Eco-Friendly,Medium (Moderately health-conscious),Social (eg. Parties),100-150,18-25,2.5,,0
31,R00032,M,Urban,Student,None,0-2 times,Newcomer,Small (250 ml),0 to 1,Price,Exotic,Online,Simple,Medium (Moderately health-conscious),Social (eg. Parties),50-100,18-25,1.0,,1
32,R00033,M,Metro,Working Professional,16L - 25L,3-4 times,Established,Small (250 ml),2 to 4,Brand Reputation,Exotic,Online,Premium,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",150-200,26-35,2.0,3.5,0
33,R00034,F,Urban,Working Professional,> 35L,5-7 times,Established,Large (1 L),2 to 4,Quality,Exotic,Online,Premium,High (Very health-conscious),Social (eg. Parties),200-250,26-35,2.5,4.0,0
34,R00035,M,Metro,Student,None,3-4 times,Newcomer,Large (1 L),0 to 1,Price,Traditional,Retail Store,Premium,Medium (Moderately health-conscious),Social (eg. Parties),100-150,18-25,1.5,,1
35,R00036,F,Rural,Student,None,3-4 times,Established,Small (250 ml),0 to 1,Price,Traditional,Online,Simple,Medium (Moderately health-conscious),Social (eg. Parties),50-100,18-25,1.5,,0
36,R00037,F,Metro,Working Professional,<10L,0-2 times,Established,Large (1 L),2 to 4,Price,Exotic,Online,Simple,High (Very health-conscious),"Active (eg. Sports, gym)",150-200,26-35,1.5,2.5,0
37,R00038,M,Metro,Student,None,0-2 times,Established,Small (250 ml),2 to 4,Price,Traditional,Online,Simple,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",50-100,18-25,1.5,,0
38,R00039,F,Urban,Working Professional,16L - 25L,0-2 times,Newcomer,Medium (500 ml),0 to 1,Brand Reputation,Traditional,Retail Store,Premium,Low (Not very concerned),Casual (eg. At home),150-200,36-45,1.0,3.0,0
39,R00040,F,Metro,Entrepreneur,> 35L,5-7 times,Newcomer,Medium (500 ml),2 to 4,Brand Reputation,Exotic,Retail Store,Eco-Friendly,High (Very health-conscious),"Active (eg. Sports, gym)",200-250,46-55,2.5,4.5,0
40,R00041,F,Urban,Working Professional,26L - 35L,3-4 times,Established,Medium (500 ml),2 to 4,Quality,Traditional,Online,Premium,Low (Not very concerned),Casual (eg. At home),200-250,46-55,2.0,3.5,0
41,R00042,M,Metro,Working Professional,16L - 25L,0-2 times,Newcomer,Small (250 ml),2 to 4,Price,Exotic,Retail Store,Simple,High (Very health-conscious),Casual (eg. At home),200-250,36-45,1.5,3.5,1
42,R00043,F,Semi-Urban,Working Professional,26L - 35L,0-2 times,Newcomer,Large (1 L),0 to 1,Price,Exotic,Retail Store,Premium,Medium (Moderately health-conscious),Casual (eg. At home),150-200,26-35,1.0,3.0,1
43,R00044,M,Metro,Student,None,3-4 times,Established,Large (1 L),2 to 4,Price,Exotic,Retail Store,Premium,Low (Not very concerned),Casual (eg. At home),100-150,18-25,2.0,,0
44,R00045,M,Urban,Retired,10L - 15L,5-7 times,Newcomer,Large (1 L),0 to 1,Price,Traditional,Retail Store,Premium,High (Very health-conscious),Social (eg. Parties),200-250,56-70,2.0,2.5,1
45,R00046,F,Urban,Working Professional,26L - 35L,3-4 times,Newcomer,Medium (500 ml),2 to 4,Quality,Exotic,Online,Simple,Low (Not very concerned),"Active (eg. Sports, gym)",200-250,36-45,2.0,3.5,1
46,R00047,M,Urban,Entrepreneur,> 35L,0-2 times,Established,Small (250 ml),2 to 4,Quality,Traditional,Retail Store,Premium,High (Very health-conscious),Casual (eg. At home),200-250,46-55,1.5,4.0,0
47,R00048,M,Urban,Working Professional,<10L,0-2 times,Newcomer,Medium (500 ml),0 to 1,Price,Traditional,Online,Premium,Medium (Moderately health-conscious),Social (eg. Parties),100-150,18-25,1.0,2.0,1
48,R00049,F,Rural,Working Professional,16L - 25L,3-4 times,Established,Medium (500 ml),0 to 1,Brand Reputation,Exotic,Retail Store,Premium,Low (Not very concerned),"Active (eg. Sports, gym)",100-150,26-35,1.5,2.0,0
49,R00050,M,Metro,Working Professional,16L - 25L,5-7 times,Newcomer,Large (1 L),2 to 4,Quality,Traditional,Online,Premium,Medium (Moderately health-conscious),Social (eg. Parties),200-250,46-55,2.5,3.5,1
50,R00051,M,Rural,Student,None,0-2 times,Established,Small (250 ml),0 to 1,Availability,Exotic,Online,Eco-Friendly,Medium (Moderately health-conscious),Social (eg. Parties),50-100,18-25,1.0,,0
51,R00052,F,Semi-Urban,Student,None,5-7 times,Newcomer,Large (1 L),0 to 1,Price,Traditional,Retail Store,Simple,Low (Not very concerned),Casual (eg. At home),50-100,18-25,2.0,,1
52,R00053,F,Urban,Working Professional,16L - 25L,0-2 times,Newcomer,Medium (500 ml),2 to 4,Price,Traditional,Online,Premium,Low (Not very concerned),"Active (eg. Sports, gym)",150-200,36-45,1.5,3.0,1
53,R00054,F,Urban,Working Professional,26L - 35L,5-7 times,Established,Medium (500 ml),2 to 4,Brand Reputation,Exotic,Retail Store,Premium,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",200-250,56-70,2.5,3.5,0
54,R00055,F,Semi-Urban,Student,None,0-2 times,Newcomer,Small (250 ml),2 to 4,Price,Exotic,Retail Store,Simple,Medium (Moderately health-conscious),Social (eg. Parties),50-100,18-25,1.5,,1
55,R00056,F,Urban,Entrepreneur,16L - 25L,0-2 times,Established,Small (250 ml),0 to 1,Brand Reputation,Exotic,Online,Premium,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",200-250,46-55,1.0,3.0,0
56,R00057,F,Metro,Student,None,0-2 times,Newcomer,Small (250 ml),0 to 1,Price,Traditional,Retail Store,Simple,Medium (Moderately health-conscious),Social (eg. Parties),50-100,18-25,1.0,,1
57,R00058,M,Metro,Student,None,3-4 times,Established,Large (1 L),2 to 4,Price,Exotic,Retail Store,Premium,High (Very health-conscious),Social (eg. Parties),100-150,18-25,2.0,,0
58,R00059,F,Urban,Entrepreneur,16L - 25L,3-4 times,Established,Medium (500 ml),0 to 1,Quality,Traditional,Online,Eco-Friendly,Low (Not very concerned),Social (eg. Parties),150-200,18-25,1.5,3.0,0
59,R00060,M,Urban,Working Professional,26L - 35L,0-2 times,Newcomer,Small (250 ml),2 to 4,Availability,Exotic,Retail Store,Premium,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",200-250,26-35,1.5,3.5,0
60,R00061,F,Semi-Urban,Working Professional,10L - 15L,3-4 times,Established,Medium (500 ml),0 to 1,Price,Traditional,Retail Store,Simple,High (Very health-conscious),Casual (eg. At home),150-200,36-45,1.5,2.0,0
61,R00062,M,Urban,Student,None,5-7 times,Established,Medium (500 ml),0 to 1,Price,Traditional,Online,Premium,Low (Not very concerned),"Active (eg. Sports, gym)",100-150,18-25,2.0,,0
62,R00063,F,Semi-Urban,Working Professional,10L - 15L,5-7 times,Established,Medium (500 ml),0 to 1,Price,Exotic,Online,Simple,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",100-150,36-45,2.0,2.0,0
63,R00064,F,Metro,Working Professional,16L - 25L,5-7 times,Newcomer,Large (1 L),2 to 4,Quality,Exotic,Online,Simple,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",200-250,26-35,2.5,3.5,1
64,R00065,M,Urban,Working Professional,10L - 15L,0-2 times,Established,Medium (500 ml),above 4,Availability,Exotic,Online,Premium,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",150-200,36-45,2.0,2.5,0
65,R00066,M,Metro,Working Professional,10L - 15L,5-7 times,Newcomer,Small (250 ml),2 to 4,Price,Exotic,Online,Simple,High (Very health-conscious),Casual (eg. At home),200-250,36-45,2.5,3.0,1
66,R00067,M,Rural,Working Professional,<10L,0-2 times,Established,Large (1 L),0 to 1,Price,Traditional,Retail Store,Simple,Medium (Moderately health-conscious),Social (eg. Parties),50-100,26-35,1.0,1.0,0
67,R00068,F,Urban,Working Professional,16L - 25L,0-2 times,Established,Small (250 ml),2 to 4,Brand Reputation,Traditional,Retail Store,Premium,High (Very health-conscious),"Active (eg. Sports, gym)",200-250,26-35,1.5,3.0,0
68,R00069,M,Metro,Working Professional,26L - 35L,0-2 times,Newcomer,Small (250 ml),above 4,Price,Exotic,Retail Store,Premium,Low (Not very concerned),Casual (eg. At home),200-250,36-45,2.0,4.0,1
69,R00070,M,Metro,Student,None,3-4 times,Newcomer,Large (1 L),0 to 1,Availability,Exotic,Online,Simple,High (Very health-conscious),Social (eg. Parties),100-150,18-25,1.5,,0
70,R00071,F,Urban,Entrepreneur,26L - 35L,5-7 times,Established,Medium (500 ml),above 4,Quality,Exotic,Retail Store,Eco-Friendly,Medium (Moderately health-conscious),Social (eg. Parties),200-250,46-55,3.0,3.5,0
71,R00072,F,Urban,Entrepreneur,<10L,3-4 times,Established,Medium (500 ml),2 to 4,Availability,Traditional,Retail Store,Premium,Low (Not very concerned),Casual (eg. At home),150-200,56-70,2.0,2.0,0
72,R00073,F,Metro,Working Professional,16L - 25L,3-4 times,Newcomer,Large (1 L),above 4,Brand Reputation,Traditional,Retail Store,Simple,Low (Not very concerned),"Active (eg. Sports, gym)",150-200,36-45,2.5,3.5,0
73,R00074,F,Metro,Working Professional,<10L,0-2 times,Newcomer,Small (250 ml),2 to 4,Availability,Traditional,Online,Simple,High (Very health-conscious),Social (eg. Parties),150-200,18-25,1.5,2.5,0
74,R00075,M,Metro,Entrepreneur,16L - 25L,5-7 times,Newcomer,Large (1 L),2 to 4,Quality,Exotic,Retail Store,Premium,High (Very health-conscious),"Active (eg. Sports, gym)",200-250,26-35,2.5,3.5,1
75,R00076,M,Urban,Working Professional,16L - 25L,3-4 times,Newcomer,Small (250 ml),above 4,Brand Reputation,Exotic,Online,Premium,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",150-200,18-25,2.5,3.0,0
76,R00077,M,Metro,Student,None,3-4 times,Newcomer,Large (1 L),2 to 4,Price,Exotic,Retail Store,Eco-Friendly,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",100-150,18-25,2.0,,1
77,R00078,M,Metro,Student,None,3-4 times,Newcomer,Large (1 L),0 to 1,Price,Traditional,Online,Premium,High (Very health-conscious),Casual (eg. At home),100-150,18-25,1.5,,1
78,R00079,F,Metro,Working Professional,26L - 35L,0-2 times,Established,Small (250 ml),2 to 4,Brand Reputation,Traditional,Retail Store,Premium,High (Very health-conscious),Casual (eg. At home),200-250,36-45,1.5,4.0,0
79,R00080,M,Semi-Urban,Working Professional,<10L,5-7 times,Established,Medium (500 ml),0 to 1,Availability,Exotic,Online,Simple,Medium (Moderately health-conscious),Casual (eg. At home),100-150,36-45,2.0,1.5,0
80,R00081,M,Urban,Working Professional,10L - 15L,5-7 times,Established,Medium (500 ml),2 to 4,Price,Exotic,Online,Simple,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",150-200,46-55,2.5,2.5,0
81,R00082,M,Metro,Entrepreneur,10L - 15L,3-4 times,Established,Medium (500 ml),above 4,Price,Traditional,Retail Store,Premium,High (Very health-conscious),"Active (eg. Sports, gym)",200-250,18-25,2.5,3.0,0
82,R00083,F,Urban,Working Professional,> 35L,3-4 times,Established,Large (1 L),0 to 1,Brand Reputation,Traditional,Retail Store,Simple,Low (Not very concerned),"Active (eg. Sports, gym)",200-250,26-35,1.5,4.0,0
83,R00084,F,Urban,Student,None,3-4 times,Established,Large (1 L),0 to 1,Availability,Traditional,Online,Simple,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",100-150,18-25,1.5,,0
84,R00085,F,Metro,Entrepreneur,26L - 35L,5-7 times,Established,Large (1 L),0 to 1,Brand Reputation,Exotic,Retail Store,Simple,Low (Not very concerned),"Active (eg. Sports, gym)",200-250,46-55,2.0,4.0,0
85,R00086,F,Metro,Working Professional,10L - 15L,3-4 times,Established,Large (1 L),0 to 1,Price,Traditional,Online,Premium,High (Very health-conscious),Casual (eg. At home),150-200,36-45,1.5,3.0,0
86,R00087,M,Urban,Working Professional,16L - 25L,0-2 times,Established,Medium (500 ml),2 to 4,Quality,Exotic,Online,Premium,Medium (Moderately health-conscious),Casual (eg. At home),150-200,26-35,1.5,3.0,0
87,R00088,M,Semi-Urban,Working Professional,10L - 15L,0-2 times,Established,Small (250 ml),0 to 1,Price,Exotic,Retail Store,Simple,High (Very health-conscious),Social (eg. Parties),100-150,26-35,1.0,2.0,0
88,R00089,F,Urban,Entrepreneur,26L - 35L,5-7 times,Newcomer,Medium (500 ml),0 to 1,Brand Reputation,Exotic,Retail Store,Premium,High (Very health-conscious),Social (eg. Parties),200-250,26-35,2.0,3.5,0
89,R00090,M,Urban,Working Professional,<10L,3-4 times,Newcomer,Large (1 L),0 to 1,Availability,Exotic,Online,Eco-Friendly,Medium (Moderately health-conscious),Casual (eg. At home),100-150,26-35,1.5,2.0,0
90,R00091,M,Metro,Student,None,5-7 times,Established,Medium (500 ml),0 to 1,Availability,Exotic,Retail Store,Eco-Friendly,High (Very health-conscious),"Active (eg. Sports, gym)",100-150,18-25,2.0,,0
91,R00092,F,Urban,Working Professional,10L - 15L,0-2 times,Newcomer,Small (250 ml),2 to 4,Price,Traditional,Online,Simple,High (Very health-conscious),"Active (eg. Sports, gym)",150-200,26-35,1.5,2.5,1
92,R00093,F,Urban,Working Professional,10L - 15L,5-7 times,Newcomer,Large (1 L),2 to 4,Availability,Traditional,Online,Simple,Medium (Moderately health-conscious),Casual (eg. At home),150-200,26-35,2.5,2.5,0
93,R00094,F,Urban,Student,None,5-7 times,Newcomer,Small (250 ml),above 4,Price,Exotic,Online,Simple,Low (Not very concerned),"Active (eg. Sports, gym)",100-150,18-25,3.0,,1
94,R00095,F,Urban,Working Professional,10L - 15L,3-4 times,Established,Medium (500 ml),2 to 4,Availability,Exotic,Online,Premium,Medium (Moderately health-conscious),Casual (eg. At home),150-200,18-25,2.0,2.5,0
95,R00096,F,Semi-Urban,Working Professional,10L - 15L,3-4 times,Established,Medium (500 ml),0 to 1,Price,Exotic,Online,Simple,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",100-150,36-45,1.5,2.0,0
96,R00097,M,Metro,Student,None,5-7 times,Established,Medium (500 ml),0 to 1,Availability,Exotic,Online,Simple,High (Very health-conscious),Casual (eg. At home),100-150,18-25,2.0,,0
97,R00098,M,Semi-Urban,Student,None,0-2 times,Newcomer,Small (250 ml),0 to 1,Availability,Traditional,Retail Store,Simple,High (Very health-conscious),Casual (eg. At home),50-100,18-25,1.0,,0
98,R00099,F,Metro,Student,None,5-7 times,Newcomer,Medium (500 ml),2 to 4,Price,Traditional,Online,Simple,High (Very health-conscious),Social (eg. Parties),150-200,18-25,2.5,,1
99,R00100,M,Semi-Urban,Working Professional,10L - 15L,3-4 times,Newcomer,Large (1 L),0 to 1,Price,Exotic,Online,Eco-Friendly,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",100-150,26-35,1.5,2.0,1
100,R00101,F,Urban,Retired,10L - 15L,3-4 times,Newcomer,Small (250 ml),0 to 1,Price,Traditional,Retail Store,Simple,High (Very health-conscious),Casual (eg. At home),150-200,56-70,1.5,2.5,1
101,R00102,F,Metro,Student,None,3-4 times,Established,Medium (500 ml),0 to 1,Price,Exotic,Online,Simple,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",100-150,18-25,1.5,,0
102,R00103,M,Urban,Working Professional,10L - 15L,3-4 times,Established,Medium (500 ml),0 to 1,Price,Traditional,Retail Store,Simple,High (Very health-conscious),Social (eg. Parties),150-200,26-35,1.5,2.5,0
103,R00104,F,Metro,Working Professional,16L - 25L,5-7 times,Established,Medium (500 ml),2 to 4,Brand Reputation,Traditional,Online,Premium,High (Very health-conscious),Social (eg. Parties),200-250,18-25,2.5,3.5,0
104,R00105,M,Semi-Urban,Working Professional,16L - 25L,3-4 times,Newcomer,Medium (500 ml),2 to 4,Price,Exotic,Retail Store,Premium,High (Very health-conscious),"Active (eg. Sports, gym)",150-200,26-35,2.0,2.5,1
105,R00106,F,Metro,Student,None,0-2 times,Established,Medium (500 ml),0 to 1,Price,Traditional,Retail Store,Simple,High (Very health-conscious),Casual (eg. At home),50-100,18-25,1.0,,0
106,R00107,F,Urban,Working Professional,26L - 35L,5-7 times,Newcomer,Medium (500 ml),2 to 4,Brand Reputation,Traditional,Online,Premium,High (Very health-conscious),Social (eg. Parties),200-250,46-55,2.5,3.5,0
107,R00108,F,Metro,Working Professional,<10L,5-7 times,Newcomer,Large (1 L),0 to 1,Availability,Exotic,Online,Simple,High (Very health-conscious),Social (eg. Parties),150-200,46-55,2.0,2.5,0
108,R00109,M,Urban,Working Professional,16L - 25L,5-7 times,Established,Medium (500 ml),0 to 1,Brand Reputation,Traditional,Retail Store,Premium,Low (Not very concerned),"Active (eg. Sports, gym)",200-250,46-55,2.0,3.0,0
109,R00110,M,Urban,Working Professional,26L - 35L,3-4 times,Newcomer,Medium (500 ml),above 4,Brand Reputation,Traditional,Online,Premium,High (Very health-conscious),"Active (eg. Sports, gym)",200-250,26-35,2.5,3.5,0
110,R00111,F,Urban,Student,None,0-2 times,Newcomer,Small (250 ml),0 to 1,Price,Exotic,Online,Simple,Low (Not very concerned),"Active (eg. Sports, gym)",50-100,18-25,1.0,,1
111,R00112,F,Rural,Working Professional,<10L,5-7 times,Newcomer,Small (250 ml),0 to 1,Availability,Traditional,Retail Store,Simple,Low (Not very concerned),Social (eg. Parties),100-150,18-25,2.0,1.0,0
112,R00113,M,Metro,Working Professional,10L - 15L,0-2 times,Newcomer,Small (250 ml),2 to 4,Availability,Traditional,Online,Premium,Low (Not very concerned),Social (eg. Parties),100-150,26-35,1.5,3.0,0
113,R00114,F,Urban,Entrepreneur,16L - 25L,5-7 times,Established,Medium (500 ml),above 4,Quality,Traditional,Retail Store,Premium,Low (Not very concerned),"Active (eg. Sports, gym)",200-250,18-25,3.0,3.0,0
114,R00115,M,Urban,Working Professional,10L - 15L,5-7 times,Established,Large (1 L),2 to 4,Price,Traditional,Retail Store,Premium,High (Very health-conscious),Casual (eg. At home),200-250,26-35,2.5,2.5,0
115,R00116,F,Urban,Working Professional,10L - 15L,5-7 times,Newcomer,Large (1 L),2 to 4,Price,Traditional,Retail Store,Premium,Low (Not very concerned),Casual (eg. At home),150-200,36-45,2.5,2.5,1
116,R00117,M,Metro,Student,None,0-2 times,Established,Large (1 L),0 to 1,Price,Traditional,Online,Simple,High (Very health-conscious),"Active (eg. Sports, gym)",50-100,18-25,1.0,,0
117,R00118,F,Metro,Retired,10L - 15L,5-7 times,Established,Small (250 ml),0 to 1,Price,Traditional,Retail Store,Simple,High (Very health-conscious),Casual (eg. At home),150-200,56-70,2.0,3.0,0
118,R00119,F,Urban,Working Professional,10L - 15L,0-2 times,Newcomer,Large (1 L),above 4,Price,Traditional,Retail Store,Eco-Friendly,Medium (Moderately health-conscious),Casual (eg. At home),150-200,36-45,2.0,2.5,1
119,R00120,M,Metro,Working Professional,10L - 15L,3-4 times,Newcomer,Medium (500 ml),0 to 1,Price,Exotic,Online,Simple,Medium (Moderately health-conscious),Casual (eg. At home),100-150,18-25,1.5,3.0,1
120,R00121,M,Urban,Working Professional,10L - 15L,5-7 times,Established,Medium (500 ml),0 to 1,Availability,Exotic,Online,Simple,Low (Not very concerned),Social (eg. Parties),100-150,18-25,2.0,2.5,0
121,R00122,F,Urban,Working Professional,10L - 15L,3-4 times,Newcomer,Large (1 L),above 4,Price,Exotic,Retail Store,Eco-Friendly,Low (Not very concerned),"Active (eg. Sports, gym)",150-200,26-35,2.5,2.5,1
122,R00123,M,Metro,Student,None,0-2 times,Newcomer,Medium (500 ml),above 4,Price,Exotic,Online,Premium,High (Very health-conscious),"Active (eg. Sports, gym)",150-200,18-25,2.0,,1
123,R00124,F,Semi-Urban,Working Professional,10L - 15L,3-4 times,Newcomer,Large (1 L),0 to 1,Availability,Traditional,Online,Premium,Low (Not very concerned),Social (eg. Parties),100-150,36-45,1.5,2.0,0
124,R00125,M,Metro,Working Professional,26L - 35L,5-7 times,Established,Small (250 ml),0 to 1,Brand Reputation,Traditional,Retail Store,Eco-Friendly,Low (Not very concerned),Social (eg. Parties),200-250,36-45,2.0,4.0,0
125,R00126,M,Metro,Student,None,0-2 times,Newcomer,Small (250 ml),0 to 1,Availability,Exotic,Retail Store,Premium,High (Very health-conscious),"Active (eg. Sports, gym)",100-150,18-25,1.0,,0
126,R00127,M,Rural,Working Professional,> 35L,3-4 times,Established,Medium (500 ml),2 to 4,Quality,Exotic,Online,Simple,Medium (Moderately health-conscious),Casual (eg. At home),200-250,36-45,2.0,3.0,0
127,R00128,F,Metro,Student,None,5-7 times,Established,Small (250 ml),2 to 4,Availability,Traditional,Online,Simple,Medium (Moderately health-conscious),Social (eg. Parties),100-150,18-25,2.5,,0
