respondent_id,age,gender,zone,occupation,income_levels,consume_frequency(weekly),current_brand,preferable_consumption_size,awareness_of_other_brands,reasons_for_choosing_brands,flavor_preference,purchase_channel,packaging_preference,health_concerns,typical_consumption_situations,price_range
r00012,23,f,urban,student,none,0-2 times,established,small (250 ml),0 to 1,price,exotic,retail store,premium,low (not very concerned),social (eg. parties),50-100
r00013,19,m,urban,working professional,<10l,0-2 times,established,small (250 ml),0 to 1,price,exotic,online,premium,medium (moderately health-conscious),social (eg. parties),100-150
r00014,24,m,urban,working professional,<10l,0-2 times,established,medium (500 ml),0 to 1,price,traditional,online,premium,low (not very concerned),"active (eg. sports, gym)",100-150
r00015,22,m,metro,student,none,3-4 times,established,small (250 ml),0 to 1,price,traditional,retail store,simple,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r00016,32,f,metro,working professional,16l - 25l,3-4 times,established,medium (500 ml),2 to 4,quality,exotic,retail store,premium,high (very health-conscious),social (eg. parties),200-250
r00017,44,m,metro,working professional,16l - 25l,0-2 times,established,medium (500 ml),0 to 1,quality,traditional,retail store,premium,high (very health-conscious),casual (eg. at home),150-200
r00018,56,m,metro,entrepreneur,16l - 25l,3-4 times,newcomer,large (1 l),above 4,availability,exotic,retail store,eco-friendly,medium (moderately health-conscious),casual (eg. at home),200-250
r00019,54,m,urban,working professional,26l - 35l,3-4 times,newcomer,large (1 l),0 to 1,quality,traditional,online,premium,medium (moderately health-conscious),casual (eg. at home),200-250
r00020,37,f,urban,entrepreneur,10l - 15l,5-7 times,established,medium (500 ml),above 4,price,exotic,online,eco-friendly,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r00021,23,m,semi-urban,student,none,3-4 times,newcomer,large (1 l),0 to 1,availability,traditional,retail store,premium,low (not very concerned),"active (eg. sports, gym)",50-100
r00022,63,m,semi-urban,working professional,<10l,0-2 times,established,medium (500 ml),0 to 1,price,traditional,retail store,premium,low (not very concerned),"active (eg. sports, gym)",100-150
r00023,52,f,metro,entrepreneur,10l - 15l,3-4 times,established,medium (500 ml),0 to 1,price,traditional,retail store,simple,medium (moderately health-conscious),social (eg. parties),150-200
r00024,23,m,urban,student,none,0-2 times,newcomer,medium (500 ml),2 to 4,availability,exotic,retail store,premium,low (not very concerned),"active (eg. sports, gym)",50-100
r00025,40,m,urban,working professional,> 35l,3-4 times,established,medium (500 ml),above 4,brand reputation,exotic,online,eco-friendly,low (not very concerned),"active (eg. sports, gym)",200-250
r00026,24,f,metro,entrepreneur,26l - 35l,5-7 times,established,large (1 l),above 4,quality,exotic,online,premium,medium (moderately health-conscious),social (eg. parties),200-250
r00027,37,f,metro,working professional,16l - 25l,5-7 times,established,medium (500 ml),2 to 4,brand reputation,exotic,retail store,eco-friendly,low (not very concerned),casual (eg. at home),150-200
r00028,35,f,metro,working professional,26l - 35l,5-7 times,established,large (1 l),2 to 4,brand reputation,exotic,online,eco-friendly,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r00029,41,m,metro,working professional,> 35l,3-4 times,established,medium (500 ml),above 4,quality,traditional,online,eco-friendly,medium (moderately health-conscious),social (eg. parties),200-250
r00030,33,f,urban,working professional,10l - 15l,0-2 times,established,medium (500 ml),0 to 1,availability,exotic,online,premium,medium (moderately health-conscious),casual (eg. at home),100-150
r00031,21,f,metro,student,none,3-4 times,established,medium (500 ml),above 4,price,exotic,online,eco-friendly,medium (moderately health-conscious),social (eg. parties),100-150
r00032,23,m,urban,student,none,0-2 times,newcomer,small (250 ml),0 to 1,price,exotic,online,simple,medium (moderately health-conscious),social (eg. parties),50-100
r00033,34,m,metro,working professional,16l - 25l,3-4 times,established,small (250 ml),2 to 4,brand reputation,exotic,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r00034,26,f,urban,working professional,> 35l,5-7 times,established,large (1 l),2 to 4,quality,exotic,online,premium,high (very health-conscious),social (eg. parties),200-250
r00035,18,m,metro,student,none,3-4 times,newcomer,large (1 l),0 to 1,price,traditional,retail store,premium,medium (moderately health-conscious),social (eg. parties),100-150
r00036,20,f,rural,student,none,3-4 times,established,small (250 ml),0 to 1,price,traditional,online,simple,medium (moderately health-conscious),social (eg. parties),50-100
r00037,27,f,metro,working professional,<10l,0-2 times,established,large (1 l),2 to 4,price,exotic,online,simple,high (very health-conscious),"active (eg. sports, gym)",150-200
r00038,25,m,metro,student,none,0-2 times,established,small (250 ml),2 to 4,price,traditional,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",50-100
r00039,39,f,urban,working professional,16l - 25l,0-2 times,newcomer,medium (500 ml),0 to 1,brand reputation,traditional,retail store,premium,low (not very concerned),casual (eg. at home),150-200
r00040,53,f,metro,entrepreneur,> 35l,5-7 times,newcomer,medium (500 ml),2 to 4,brand reputation,exotic,retail store,eco-friendly,high (very health-conscious),"active (eg. sports, gym)",200-250
r00041,46,f,urban,working professional,26l - 35l,3-4 times,established,medium (500 ml),2 to 4,quality,traditional,online,premium,low (not very concerned),casual (eg. at home),200-250
r00042,40,m,metro,working professional,16l - 25l,0-2 times,newcomer,small (250 ml),2 to 4,price,exotic,retail store,simple,high (very health-conscious),casual (eg. at home),200-250
r00043,28,f,semi-urban,working professional,26l - 35l,0-2 times,newcomer,large (1 l),0 to 1,price,exotic,retail store,premium,medium (moderately health-conscious),casual (eg. at home),150-200
r00044,18,m,metro,student,none,3-4 times,established,large (1 l),2 to 4,price,exotic,retail store,premium,low (not very concerned),casual (eg. at home),100-150
r00045,59,m,urban,retired,10l - 15l,5-7 times,newcomer,large (1 l),0 to 1,price,traditional,retail store,premium,high (very health-conscious),social (eg. parties),200-250
r00046,36,f,urban,working professional,26l - 35l,3-4 times,newcomer,medium (500 ml),2 to 4,quality,exotic,online,simple,low (not very concerned),"active (eg. sports, gym)",200-250
r00047,50,m,urban,entrepreneur,> 35l,0-2 times,established,small (250 ml),2 to 4,quality,traditional,retail store,premium,high (very health-conscious),casual (eg. at home),200-250
r00048,21,m,urban,working professional,<10l,0-2 times,newcomer,medium (500 ml),0 to 1,price,traditional,online,premium,medium (moderately health-conscious),social (eg. parties),100-150
r00049,30,f,rural,working professional,16l - 25l,3-4 times,established,medium (500 ml),0 to 1,brand reputation,exotic,retail store,premium,low (not very concerned),"active (eg. sports, gym)",100-150
r00050,52,m,metro,working professional,16l - 25l,5-7 times,newcomer,large (1 l),2 to 4,quality,traditional,online,premium,medium (moderately health-conscious),social (eg. parties),200-250
r00051,21,m,rural,student,none,0-2 times,established,small (250 ml),0 to 1,availability,exotic,online,eco-friendly,medium (moderately health-conscious),social (eg. parties),50-100
r00052,18,f,semi-urban,student,none,5-7 times,newcomer,large (1 l),0 to 1,price,traditional,retail store,simple,low (not very concerned),casual (eg. at home),50-100
r00053,41,f,urban,working professional,16l - 25l,0-2 times,newcomer,medium (500 ml),2 to 4,price,traditional,online,premium,low (not very concerned),"active (eg. sports, gym)",150-200
r00054,59,f,urban,working professional,26l - 35l,5-7 times,established,medium (500 ml),2 to 4,brand reputation,exotic,retail store,premium,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r00055,22,f,semi-urban,student,none,0-2 times,newcomer,small (250 ml),2 to 4,price,exotic,retail store,simple,medium (moderately health-conscious),social (eg. parties),50-100
r00056,49,f,urban,entrepreneur,16l - 25l,0-2 times,established,small (250 ml),0 to 1,brand reputation,exotic,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r00057,20,f,metro,student,none,0-2 times,newcomer,small (250 ml),0 to 1,price,traditional,retail store,simple,medium (moderately health-conscious),social (eg. parties),50-100
r00058,25,m,metro,student,none,3-4 times,established,large (1 l),2 to 4,price,exotic,retail store,premium,high (very health-conscious),social (eg. parties),100-150
r00059,23,f,urban,entrepreneur,16l - 25l,3-4 times,established,medium (500 ml),0 to 1,quality,traditional,online,eco-friendly,low (not very concerned),social (eg. parties),150-200
r00060,29,m,urban,working professional,26l - 35l,0-2 times,newcomer,small (250 ml),2 to 4,availability,exotic,retail store,premium,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r00061,36,f,semi-urban,working professional,10l - 15l,3-4 times,established,medium (500 ml),0 to 1,price,traditional,retail store,simple,high (very health-conscious),casual (eg. at home),150-200
r00062,18,m,urban,student,none,5-7 times,established,medium (500 ml),0 to 1,price,traditional,online,premium,low (not very concerned),"active (eg. sports, gym)",100-150
r00063,43,f,semi-urban,working professional,10l - 15l,5-7 times,established,medium (500 ml),0 to 1,price,exotic,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r00064,34,f,metro,working professional,16l - 25l,5-7 times,newcomer,large (1 l),2 to 4,quality,exotic,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r00065,37,m,urban,working professional,10l - 15l,0-2 times,established,medium (500 ml),above 4,availability,exotic,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r00066,42,m,metro,working professional,10l - 15l,5-7 times,newcomer,small (250 ml),2 to 4,price,exotic,online,simple,high (very health-conscious),casual (eg. at home),200-250
r00067,30,m,rural,working professional,<10l,0-2 times,established,large (1 l),0 to 1,price,traditional,retail store,simple,medium (moderately health-conscious),social (eg. parties),50-100
r00068,34,f,urban,working professional,16l - 25l,0-2 times,established,small (250 ml),2 to 4,brand reputation,traditional,retail store,premium,high (very health-conscious),"active (eg. sports, gym)",200-250
r00069,38,m,metro,working professional,26l - 35l,0-2 times,newcomer,small (250 ml),above 4,price,exotic,retail store,premium,low (not very concerned),casual (eg. at home),200-250
r00070,24,m,metro,student,none,3-4 times,newcomer,large (1 l),0 to 1,availability,exotic,online,simple,high (very health-conscious),social (eg. parties),100-150
r00071,53,f,urban,entrepreneur,26l - 35l,5-7 times,established,medium (500 ml),above 4,quality,exotic,retail store,eco-friendly,medium (moderately health-conscious),social (eg. parties),200-250
r00072,70,f,urban,entrepreneur,<10l,3-4 times,established,medium (500 ml),2 to 4,availability,traditional,retail store,premium,low (not very concerned),casual (eg. at home),150-200
r00073,40,f,metro,working professional,16l - 25l,3-4 times,newcomer,large (1 l),above 4,brand reputation,traditional,retail store,simple,low (not very concerned),"active (eg. sports, gym)",150-200
r00074,20,f,metro,working professional,<10l,0-2 times,newcomer,small (250 ml),2 to 4,availability,traditional,online,simple,high (very health-conscious),social (eg. parties),150-200
r00075,35,m,metro,entrepreneur,16l - 25l,5-7 times,newcomer,large (1 l),2 to 4,quality,exotic,retail store,premium,high (very health-conscious),"active (eg. sports, gym)",200-250
r00076,23,m,urban,working professional,16l - 25l,3-4 times,newcomer,small (250 ml),above 4,brand reputation,exotic,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r00077,24,m,metro,student,none,3-4 times,newcomer,large (1 l),2 to 4,price,exotic,retail store,eco-friendly,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r00078,23,m,metro,student,none,3-4 times,newcomer,large (1 l),0 to 1,price,traditional,online,premium,high (very health-conscious),casual (eg. at home),100-150
r00079,37,f,metro,working professional,26l - 35l,0-2 times,established,small (250 ml),2 to 4,brand reputation,traditional,retail store,premium,high (very health-conscious),casual (eg. at home),200-250
r00080,42,m,semi-urban,working professional,<10l,5-7 times,established,medium (500 ml),0 to 1,availability,exotic,online,simple,medium (moderately health-conscious),casual (eg. at home),100-150
r00081,53,m,urban,working professional,10l - 15l,5-7 times,established,medium (500 ml),2 to 4,price,exotic,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r00082,23,m,metro,entrepreneur,10l - 15l,3-4 times,established,medium (500 ml),above 4,price,traditional,retail store,premium,high (very health-conscious),"active (eg. sports, gym)",200-250
r00083,27,f,urban,working professional,> 35l,3-4 times,established,large (1 l),0 to 1,brand reputation,traditional,retail store,simple,low (not very concerned),"active (eg. sports, gym)",200-250
r00084,25,f,urban,student,none,3-4 times,established,large (1 l),0 to 1,availability,traditional,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r00085,49,f,metro,entrepreneur,26l - 35l,5-7 times,established,large (1 l),0 to 1,brand reputation,exotic,retail store,simple,low (not very concerned),"active (eg. sports, gym)",200-250
r00086,39,f,metro,working professional,10l - 15l,3-4 times,established,large (1 l),0 to 1,price,traditional,online,premium,high (very health-conscious),casual (eg. at home),150-200
r00087,30,m,urban,working professional,16l - 25l,0-2 times,established,medium (500 ml),2 to 4,quality,exotic,online,premium,medium (moderately health-conscious),casual (eg. at home),150-200
r00088,35,m,semi-urban,working professional,10l - 15l,0-2 times,established,small (250 ml),0 to 1,price,exotic,retail store,simple,high (very health-conscious),social (eg. parties),100-150
r00089,30,f,urban,entrepreneur,26l - 35l,5-7 times,newcomer,medium (500 ml),0 to 1,brand reputation,exotic,retail store,premium,high (very health-conscious),social (eg. parties),200-250
r00090,29,m,urban,working professional,<10l,3-4 times,newcomer,large (1 l),0 to 1,availability,exotic,online,eco-friendly,medium (moderately health-conscious),casual (eg. at home),100-150
r00091,24,m,metro,student,none,5-7 times,established,medium (500 ml),0 to 1,availability,exotic,retail store,eco-friendly,high (very health-conscious),"active (eg. sports, gym)",100-150
r00092,31,f,urban,working professional,10l - 15l,0-2 times,newcomer,small (250 ml),2 to 4,price,traditional,online,simple,high (very health-conscious),"active (eg. sports, gym)",150-200
r00093,26,f,urban,working professional,10l - 15l,5-7 times,newcomer,large (1 l),2 to 4,availability,traditional,online,simple,medium (moderately health-conscious),casual (eg. at home),150-200
r00094,24,f,urban,student,none,5-7 times,newcomer,small (250 ml),above 4,price,exotic,online,simple,low (not very concerned),"active (eg. sports, gym)",100-150
r00095,24,f,urban,working professional,10l - 15l,3-4 times,established,medium (500 ml),2 to 4,availability,exotic,online,premium,medium (moderately health-conscious),casual (eg. at home),150-200
r00096,36,f,semi-urban,working professional,10l - 15l,3-4 times,established,medium (500 ml),0 to 1,price,exotic,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r00097,24,m,metro,student,none,5-7 times,established,medium (500 ml),0 to 1,availability,exotic,online,simple,high (very health-conscious),casual (eg. at home),100-150
r00098,19,m,semi-urban,student,none,0-2 times,newcomer,small (250 ml),0 to 1,availability,traditional,retail store,simple,high (very health-conscious),casual (eg. at home),50-100
r00099,22,f,metro,student,none,5-7 times,newcomer,medium (500 ml),2 to 4,price,traditional,online,simple,high (very health-conscious),social (eg. parties),150-200
r00100,31,m,semi-urban,working professional,10l - 15l,3-4 times,newcomer,large (1 l),0 to 1,price,exotic,online,eco-friendly,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r00101,59,f,urban,retired,10l - 15l,3-4 times,newcomer,small (250 ml),0 to 1,price,traditional,retail store,simple,high (very health-conscious),casual (eg. at home),150-200
r00102,21,f,metro,student,none,3-4 times,established,medium (500 ml),0 to 1,price,exotic,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r00103,32,m,urban,working professional,10l - 15l,3-4 times,established,medium (500 ml),0 to 1,price,traditional,retail store,simple,high (very health-conscious),social (eg. parties),150-200
r00104,19,f,metro,working professional,16l - 25l,5-7 times,established,medium (500 ml),2 to 4,brand reputation,traditional,online,premium,high (very health-conscious),social (eg. parties),200-250
r00105,27,m,semi-urban,working professional,16l - 25l,3-4 times,newcomer,medium (500 ml),2 to 4,price,exotic,retail store,premium,high (very health-conscious),"active (eg. sports, gym)",150-200
r00106,25,f,metro,student,none,0-2 times,established,medium (500 ml),0 to 1,price,traditional,retail store,simple,high (very health-conscious),casual (eg. at home),50-100
r00107,49,f,urban,working professional,26l - 35l,5-7 times,newcomer,medium (500 ml),2 to 4,brand reputation,traditional,online,premium,high (very health-conscious),social (eg. parties),200-250
r00108,54,f,metro,working professional,<10l,5-7 times,newcomer,large (1 l),0 to 1,availability,exotic,online,simple,high (very health-conscious),social (eg. parties),150-200
r00109,51,m,urban,working professional,16l - 25l,5-7 times,established,medium (500 ml),0 to 1,brand reputation,traditional,retail store,premium,low (not very concerned),"active (eg. sports, gym)",200-250
r00110,35,m,urban,working professional,26l - 35l,3-4 times,newcomer,medium (500 ml),above 4,brand reputation,traditional,online,premium,high (very health-conscious),"active (eg. sports, gym)",200-250
r00111,25,f,urban,student,none,0-2 times,newcomer,small (250 ml),0 to 1,price,exotic,online,simple,low (not very concerned),"active (eg. sports, gym)",50-100
r00112,23,f,rural,working professional,<10l,5-7 times,newcomer,small (250 ml),0 to 1,availability,traditional,retail store,simple,low (not very concerned),social (eg. parties),100-150
r00113,34,m,metro,working professional,10l - 15l,0-2 times,newcomer,small (250 ml),2 to 4,availability,traditional,online,premium,low (not very concerned),social (eg. parties),100-150
r00114,19,f,urban,entrepreneur,16l - 25l,5-7 times,established,medium (500 ml),above 4,quality,traditional,retail store,premium,low (not very concerned),"active (eg. sports, gym)",200-250
r00115,26,m,urban,working professional,10l - 15l,5-7 times,established,large (1 l),2 to 4,price,traditional,retail store,premium,high (very health-conscious),casual (eg. at home),200-250
r00116,42,f,urban,working professional,10l - 15l,5-7 times,newcomer,large (1 l),2 to 4,price,traditional,retail store,premium,low (not very concerned),casual (eg. at home),150-200
r00117,22,m,metro,student,none,0-2 times,established,large (1 l),0 to 1,price,traditional,online,simple,high (very health-conscious),"active (eg. sports, gym)",50-100
r00118,68,f,metro,retired,10l - 15l,5-7 times,established,small (250 ml),0 to 1,price,traditional,retail store,simple,high (very health-conscious),casual (eg. at home),150-200
r00119,36,f,urban,working professional,10l - 15l,0-2 times,newcomer,large (1 l),above 4,price,traditional,retail store,eco-friendly,medium (moderately health-conscious),casual (eg. at home),150-200
r00120,25,m,metro,working professional,10l - 15l,3-4 times,newcomer,medium (500 ml),0 to 1,price,exotic,online,simple,medium (moderately health-conscious),casual (eg. at home),100-150
r00121,20,m,urban,working professional,10l - 15l,5-7 times,established,medium (500 ml),0 to 1,availability,exotic,online,simple,low (not very concerned),social (eg. parties),100-150
r00122,31,f,urban,working professional,10l - 15l,3-4 times,newcomer,large (1 l),above 4,price,exotic,retail store,eco-friendly,low (not very concerned),"active (eg. sports, gym)",150-200
r00123,21,m,metro,student,none,0-2 times,newcomer,medium (500 ml),above 4,price,exotic,online,premium,high (very health-conscious),"active (eg. sports, gym)",150-200
r00124,43,f,semi-urban,working professional,10l - 15l,3-4 times,newcomer,large (1 l),0 to 1,availability,traditional,online,premium,low (not very concerned),social (eg. parties),100-150
r00125,37,m,metro,working professional,26l - 35l,5-7 times,established,small (250 ml),0 to 1,brand reputation,traditional,retail store,eco-friendly,low (not very concerned),social (eg. parties),200-250
r00126,25,m,metro,student,none,0-2 times,newcomer,small (250 ml),0 to 1,availability,exotic,retail store,premium,high (very health-conscious),"active (eg. sports, gym)",100-150
r00127,39,m,rural,working professional,> 35l,3-4 times,established,medium (500 ml),2 to 4,quality,exotic,online,simple,medium (moderately health-conscious),casual (eg. at home),200-250
r00128,22,f,metro,student,none,5-7 times,established,small (250 ml),2 to 4,availability,traditional,online,simple,medium (moderately health-conscious),social (eg. parties),100-150
r00129,41,f,rural,working professional,<10l,5-7 times,established,small (250 ml),above 4,price,traditional,retail store,simple,high (very health-conscious),"active (eg. sports, gym)",150-200
r00130,24,m,metro,working professional,10l - 15l,5-7 times,established,medium (500 ml),2 to 4,price,exotic,retail store,simple,low (not very concerned),"active (eg. sports, gym)",100-150
r00131,44,m,urban,working professional,16l - 25l,5-7 times,established,small (250 ml),above 4,quality,exotic,online,premium,low (not very concerned),social (eg. parties),200-250
r00132,54,m,metro,working professional,> 35l,3-4 times,established,medium (500 ml),2 to 4,quality,traditional,online,premium,medium (moderately health-conscious),social (eg. parties),200-250
r00133,39,m,urban,working professional,> 35l,0-2 times,newcomer,medium (500 ml),0 to 1,availability,traditional,online,eco-friendly,medium (moderately health-conscious),social (eg. parties),200-250
r00134,19,m,urban,student,none,5-7 times,newcomer,large (1 l),0 to 1,price,traditional,retail store,simple,medium (moderately health-conscious),social (eg. parties),100-150
r00135,24,m,urban,student,none,5-7 times,established,medium (500 ml),0 to 1,price,traditional,online,simple,low (not very concerned),"active (eg. sports, gym)",50-100
r00136,28,m,metro,working professional,16l - 25l,0-2 times,newcomer,medium (500 ml),2 to 4,brand reputation,exotic,retail store,premium,low (not very concerned),social (eg. parties),150-200
r00137,20,m,metro,student,none,0-2 times,established,medium (500 ml),2 to 4,price,exotic,retail store,simple,medium (moderately health-conscious),"active (eg. sports, gym)",50-100
r00138,27,f,semi-urban,working professional,10l - 15l,5-7 times,newcomer,medium (500 ml),2 to 4,price,exotic,retail store,simple,high (very health-conscious),"active (eg. sports, gym)",150-200
r00139,36,f,semi-urban,working professional,10l - 15l,5-7 times,newcomer,medium (500 ml),0 to 1,availability,exotic,retail store,simple,medium (moderately health-conscious),social (eg. parties),100-150
r00140,43,f,semi-urban,entrepreneur,26l - 35l,3-4 times,newcomer,medium (500 ml),2 to 4,availability,exotic,retail store,simple,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r00141,19,m,urban,student,none,3-4 times,established,small (250 ml),2 to 4,price,exotic,online,simple,low (not very concerned),social (eg. parties),100-150
r00142,22,f,rural,student,none,0-2 times,newcomer,small (250 ml),0 to 1,price,traditional,retail store,simple,medium (moderately health-conscious),social (eg. parties),50-100
r00143,35,f,metro,working professional,<10l,3-4 times,newcomer,medium (500 ml),0 to 1,price,traditional,online,premium,high (very health-conscious),"active (eg. sports, gym)",150-200
r00144,23,f,urban,student,none,3-4 times,established,medium (500 ml),2 to 4,price,traditional,online,premium,medium (moderately health-conscious),social (eg. parties),100-150
r00145,29,f,urban,working professional,26l - 35l,5-7 times,established,medium (500 ml),2 to 4,brand reputation,traditional,online,eco-friendly,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r00146,24,m,metro,student,none,3-4 times,established,medium (500 ml),2 to 4,price,exotic,online,simple,high (very health-conscious),casual (eg. at home),100-150
r00147,25,m,urban,student,none,3-4 times,established,small (250 ml),0 to 1,price,exotic,online,premium,high (very health-conscious),casual (eg. at home),100-150
r00148,48,m,metro,entrepreneur,26l - 35l,5-7 times,newcomer,large (1 l),2 to 4,quality,traditional,online,premium,low (not very concerned),social (eg. parties),200-250
r00149,48,f,metro,working professional,> 35l,5-7 times,established,large (1 l),2 to 4,quality,exotic,retail store,premium,high (very health-conscious),casual (eg. at home),200-250
r00150,18,f,metro,student,none,0-2 times,established,medium (500 ml),0 to 1,price,traditional,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",50-100
r00151,62,f,urban,entrepreneur,<10l,0-2 times,newcomer,medium (500 ml),0 to 1,price,traditional,retail store,simple,medium (moderately health-conscious),casual (eg. at home),150-200
r00152,63,f,urban,retired,16l - 25l,3-4 times,newcomer,large (1 l),0 to 1,quality,exotic,retail store,premium,high (very health-conscious),casual (eg. at home),150-200
r00153,32,f,metro,working professional,26l - 35l,5-7 times,established,medium (500 ml),2 to 4,brand reputation,traditional,online,simple,medium (moderately health-conscious),casual (eg. at home),200-250
r00154,51,f,semi-urban,working professional,<10l,3-4 times,established,small (250 ml),0 to 1,price,exotic,retail store,simple,medium (moderately health-conscious),casual (eg. at home),150-200
r00155,34,m,urban,working professional,16l - 25l,0-2 times,established,large (1 l),0 to 1,quality,traditional,online,premium,low (not very concerned),social (eg. parties),150-200
r00156,40,f,urban,working professional,26l - 35l,5-7 times,newcomer,medium (500 ml),0 to 1,brand reputation,traditional,online,simple,high (very health-conscious),social (eg. parties),200-250
r00157,23,m,metro,working professional,<10l,3-4 times,newcomer,small (250 ml),0 to 1,availability,exotic,online,premium,medium (moderately health-conscious),social (eg. parties),100-150
r00158,33,m,urban,entrepreneur,<10l,5-7 times,established,medium (500 ml),0 to 1,availability,exotic,online,simple,medium (moderately health-conscious),casual (eg. at home),150-200
r00159,23,f,semi-urban,student,none,3-4 times,established,small (250 ml),0 to 1,availability,exotic,retail store,premium,medium (moderately health-conscious),"active (eg. sports, gym)",50-100
r00160,24,m,rural,entrepreneur,10l - 15l,0-2 times,newcomer,small (250 ml),above 4,price,traditional,online,simple,low (not very concerned),casual (eg. at home),100-150
r00161,28,m,urban,student,none,0-2 times,newcomer,medium (500 ml),above 4,price,traditional,online,premium,low (not very concerned),"active (eg. sports, gym)",100-150
r00162,63,f,metro,retired,<10l,3-4 times,newcomer,medium (500 ml),0 to 1,price,exotic,retail store,simple,high (very health-conscious),casual (eg. at home),150-200
r00163,24,m,urban,student,none,3-4 times,established,medium (500 ml),0 to 1,price,exotic,online,premium,low (not very concerned),"active (eg. sports, gym)",50-100
r00164,42,m,metro,working professional,10l - 15l,3-4 times,newcomer,large (1 l),above 4,price,traditional,online,simple,high (very health-conscious),"active (eg. sports, gym)",200-250
r00165,19,m,metro,student,none,3-4 times,newcomer,medium (500 ml),above 4,availability,exotic,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r00166,50,f,urban,working professional,> 35l,0-2 times,established,medium (500 ml),0 to 1,quality,traditional,online,eco-friendly,low (not very concerned),casual (eg. at home),150-200
r00167,22,m,urban,student,none,3-4 times,established,medium (500 ml),2 to 4,price,exotic,retail store,simple,low (not very concerned),social (eg. parties),100-150
r00168,19,m,urban,student,none,0-2 times,newcomer,medium (500 ml),0 to 1,price,traditional,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",50-100
r00169,29,m,semi-urban,entrepreneur,10l - 15l,0-2 times,newcomer,medium (500 ml),0 to 1,availability,exotic,retail store,premium,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r00170,22,m,metro,student,none,3-4 times,newcomer,small (250 ml),2 to 4,price,traditional,online,simple,low (not very concerned),"active (eg. sports, gym)",50-100
r00171,22,m,metro,working professional,16l - 25l,0-2 times,established,medium (500 ml),2 to 4,brand reputation,exotic,online,premium,high (very health-conscious),"active (eg. sports, gym)",200-250
